CHILD_ID,NAME,COUNTRY,DOB,Belief,
215,Marius Bancos,Comoros,24/05/2018,0.99509,
216,Damien Fenwick,San Marino,26/01/2019,0.76127,
217,Leslie Spencer,Kazakstan,05/09/2010,0.2329,
218,Yu Sun,Dominican Republic,01/11/2016,0.80317,
219,Ramarao Puti,Uruguay,28/08/2002,0.81695,
220,Nicola Young,Mauritania,08/07/2006,0.32954,
221,Derek Eason,Tokelau,20/04/2000,0.2134,
222,Cliff Surfleet,Guadeloupe,02/10/2003,0.73342,
223,Nikhil Golechha,Togo,06/01/2003,0.15938,
224,Rhys Jeffrey-Duncan,Angola,07/02/2008,0.98827,
225,Arun Singh,Kiribati,12/11/2013,0.4254,
226,Barry Hardcastle,Chile,17/04/2004,0.43147,
227,Sourav Saha,Guyana,21/08/2019,0.57077,
228,Melanie Gorrie,Cocos (Keeling) Islands,18/06/2010,0.35041,
229,Andy Watkin,French Polynesia,23/10/2003,0.67382,
230,Megan Carlin,Antarctica,19/08/2002,0.97132,
231,Kenny McAllister,Bolivia,10/06/2001,0.65484,
232,Wayne Joseph,South Korea,07/01/2008,0.46229,
233,Stephen Glenister,Uruguay,14/02/2016,0.05281,
234,Paul Wilkinson,El Salvador,04/07/2020,0.37101,
235,Kevin Cain,United States,02/02/2020,0.22059,
236,Shrabani Bhattacharya,Seychelles,14/10/2011,0.03917,
237,Aaron Tunnicliff,Honduras,31/10/2020,0.55625,
238,Bill Blake,Tokelau,08/07/2013,0.49136,
239,Abhijit Chavhan,Cayman Islands,06/08/2014,0.35492,
240,Adam Payne,Martinique,26/01/2007,0.38523,
241,Jose De Sa,Faroe Islands,18/04/2013,0.74034,
242,Arijit Dey,Bangladesh,01/12/2017,0.30781,
243,Daniel Allen,Malaysia,21/03/2019,0.1222,
244,Premalatha Gudishetty,Finland,27/08/2009,0.49183,
245,Claire Richardson,Azerbaijan,24/05/2006,0.47917,
246,Vaibhav Sharma,Jordan,14/10/2010,0.66385,
247,Edward Geissler,Ethiopia,25/10/2010,0.40513,
248,Andy Cavanagh,Greece,18/11/2019,0.57604,
249,Ewan Panter,French Polynesia,25/12/2006,0.62191,
250,Melanie Taylor,Western Sahara,16/09/2007,0.69477,
251,Dragos Donici,Wallis and Futuna,09/05/2011,0.91068,
252,Carlos Colomo Gomez,Brazil,26/10/2009,0.0011,
253,Gordon Smart,Hungary,22/11/2013,0.88703,
254,Rishabh Bhatnagar,Morocco,14/04/2003,0.99897,
255,Ross Buntain,Botswana,25/04/2009,0.34129,
256,Bryn Bowden,British Indian Ocean Territory,15/06/2004,0.22492,
257,Usman Janjua,Estonia,08/06/2008,0.44774,
258,Vaibhav Srivastava,Germany,12/03/2002,0.17376,
259,Steven Lang,Guam,01/07/2011,0.17488,
260,Molly Sarfas,Mayotte,10/10/2018,0.89592,
261,Sathiyabalaji S,Poland,25/04/2001,0.84631,
262,Graham Starkey,Cameroon,09/11/2019,0.67921,
263,Rob Facer,Chad,23/08/2013,0.15747,
264,Cherryl Telgt,Colombia,03/06/2003,0.6243,
265,Nikhita Jain,Brazil,15/03/2010,0.45503,
266,Guranna C,Cook Islands,19/05/2017,0.63093,
267,Meghal Sharma,Oman,18/03/2011,0.28743,
268,Vikram Pustake,Sweden,04/04/2001,0.51969,
269,Jennifer Byrne,Slovakia,05/01/2002,0.54057,
270,Robert Whitlock,Romania,14/08/2007,0.86976,
271,Tom Mayall,Senegal,12/06/2002,0.66243,
272,Suharshini Gajulapalli,Ghana,18/08/2001,0.1255,
273,Roopa Savant,Cocos (Keeling) Islands,11/12/2001,0.14567,
274,Joseph Raymond,Lebanon,21/03/2020,0.8128,
275,Tim Ward,Guinea-Bissau,22/12/2015,0.51207,
276,Angira Das,Maldives,19/07/2011,0.70147,
277,Craig Sandie,Grenada,23/05/2020,0.27551,
278,Sathish Kumar Kayathi,Moldova,18/01/2019,0.41793,
279,Rahul Kanojia,Faroe Islands,04/04/2016,0.64823,
280,Martin Hanvey,Slovakia,25/05/2001,0.77562,
281,Chris Lennon,Saudi Arabia,09/12/2016,0.6565,
282,Pradeep Kumar,Lithuania,06/07/2006,0.5155,
283,Simon Jones,Fiji Islands,27/03/2015,0.19748,
284,Linsha V M,Christmas Island,01/11/2019,0.3984,
285,Sandeep Jain,Thailand,12/06/2001,0.41282,
286,Richard Stanton,Albania,24/03/2010,0.06948,
287,Malcolm Wells,Fiji Islands,08/10/2013,0.83357,
288,Alan Behan,Zimbabwe,17/04/2019,0.42391,
289,Gilbert Owusu,Bosnia and Herzegovina,26/07/2013,0.65787,
290,Matthew Calway,Costa Rica,21/11/2020,0.27944,
291,Alan De Vries,Poland,14/10/2005,0.77964,
292,Sarah Ramsey,Myanmar,19/11/2008,0.93646,
293,Girish Yadav,Eritrea,23/04/2012,0.50058,
294,Pranjali Desai,Jordan,25/01/2006,0.77105,
295,Mousumi Konch,Greece,16/05/2018,0.07574,
296,Karoly Lengyel,Greece,05/01/2003,0.20525,
297,Alisha Spencer,Rwanda,18/05/2012,0.33781,
298,Dhawal Joshi,Philippines,21/08/2015,0.26027,
299,Brett Brown,South Georgia and the South Sandwich Islands,30/05/2002,0.57064,
300,Shahid Hussain Ansari,San Marino,09/05/2009,0.06998,
301,Courtney Walton,Nicaragua,28/05/2004,0.52129,
302,Indrajit Chatterjee,Ukraine,11/05/2007,0.92026,
303,Nitin Khandare,Jordan,05/02/2012,0.61972,
304,Alceu Carzin,Western Sahara,05/06/2001,0.66819,
305,Stephen Ness,Morocco,05/04/2018,0.38574,
306,Alasdair Leng,Costa Rica,22/01/2008,0.05649,
307,Mullai Mahalingam,Tanzania,01/11/2000,0.9552,
308,Anugreh Shukla,Niger,05/11/2016,0.49117,
309,Zoey Wright,Poland,06/05/2000,0.81093,
310,Jason Hancock,Greenland,21/10/2008,0.00994,
311,Mick Kendal,Burkina Faso,31/08/2002,0.03528,
312,Paul Cassidy,Cambodia,16/12/2012,0.8834,
313,Varun Saini,Haiti,22/11/2019,0.12759,
314,Elizabeth Cardenas Murphy,Belarus,26/09/2011,0.76021,
315,Christopher Greenwood,Greenland,11/07/2003,0.84827,
316,Farheenah Quamer,Seychelles,24/03/2009,0.99527,
317,Jason Crosby,Reunion,10/07/2015,0.06522,
318,Kim Quan Chye,San Marino,02/05/2020,0.09113,
319,Robert Dioni,Yemen,11/02/2006,0.37156,
320,Aiden Nasser,Antarctica,29/11/2019,0.59468,
321,Sohom Banerjee,Romania,25/08/2014,0.1227,
322,Anita Biro,Finland,14/02/2011,0.31792,
323,Gouri Spandana Bandi Venkata,Turkey,17/05/2008,0.51576,
324,Inderjeet Parmar,Morocco,16/04/2014,0.38216,
325,Richard Burnham,Mauritania,02/04/2000,0.08601,
326,Imran Khan,Sao Tome and Principe,05/11/2011,0.30456,
327,Alexandra Birta,Malawi,24/09/2015,0.59437,
328,Mukesh Munjal,Oman,01/01/2006,0.12175,
329,Geetha Bhavani Sarika,Western Sahara,26/12/2010,0.87362,
330,Michael McPhillips,Turkmenistan,22/01/2010,0.07585,
331,Aman Kumar Khokhar,Uzbekistan,30/01/2008,0.84037,
332,Claire Docherty,Croatia,25/06/2019,0.76301,
333,Ashok Kumar,Kyrgyzstan,23/10/2011,0.60678,
334,Kenneth Delaney,Pakistan,26/01/2002,0.00838,
335,Kunal Snehi,Christmas Island,04/05/2016,0.5511,
336,Annu Tayal,Laos,10/06/2007,0.06406,
337,Mridula Guglani,Cayman Islands,28/04/2002,0.27081,
338,Jonathan Hall,Faroe Islands,27/06/2015,0.82556,
339,Phillip Hinksman,Ghana,12/08/2004,0.40538,
340,Alan Quinnell,Antarctica,18/04/2017,0.35002,
341,Gopal Singhal,Singapore,30/04/2009,0.06095,
342,Sam Penfold,Mauritania,10/08/2010,0.12699,
343,Santosh Komineni,Barbados,11/11/2017,0.47939,
344,Govardhan Dasari,Nigeria,09/09/2004,0.17617,
345,Eurita Farquharson,Nigeria,07/09/2005,0.20457,
346,PAUL WILKIE,Thailand,25/03/2009,0.60174,
347,Shaun Bayliss,Luxembourg,22/03/2017,0.12524,
348,Paul Boreham,Gabon,20/06/2019,0.37908,
349,Kelly Thomas,Ecuador,13/08/2005,0.76375,
350,Shikharjit Das,Belize,16/06/2009,0.80575,
351,Sumit Sikanderlal Sachdeva,New Caledonia,14/07/2005,0.34961,
352,Hawa Sidat,Equatorial Guinea,24/08/2007,0.91402,
353,Ramalingam Veerakumararajan,Swaziland,17/09/2013,0.34584,
354,Rahil Qureshi,Iceland,21/10/2002,0.96542,
355,Kai Ketelsen,Syria,29/09/2004,0.64138,
356,Jodie-Leigh Roberts,Bolivia,29/11/2012,0.88798,
357,Carl Rees,Portugal,19/11/2002,0.684,
358,Ritu Singh,Bolivia,05/08/2018,0.61518,
359,Ashton Hodges,Togo,06/04/2007,0.38386,
360,Steven Stobbs,Saint Vincent and the Grenadines,11/10/2011,0.09788,
361,Gavin Crossan,Trinidad and Tobago,16/10/2014,0.93865,
362,Anam Ahmed,Saint Lucia,23/06/2003,0.72242,
363,Giridhar Ramanna,Azerbaijan,11/10/2000,0.89232,
364,Karlgreg Loma,Hong Kong,09/10/2020,0.5984,
365,James Beauchamp,Syria,24/02/2009,0.25716,
366,Subhajit Kundu,Libyan Arab Jamahiriya,25/12/2017,0.20856,
367,Simon Frumkin,Kiribati,27/02/2014,0.19279,
368,JinWoong Kim,Nepal,27/02/2012,0.59543,
369,Bruno Pires,Saint Kitts and Nevis,16/03/2017,0.96844,
370,Zara Livessy,Canada,25/06/2020,0.69569,
371,Malcolm Davis,Belarus,31/01/2010,0.47309,
372,Jean-Marie Baz,Saint Lucia,27/08/2001,0.05103,
373,Dhivya Bharathi Kalyana Sundharam,Indonesia,14/12/2004,0.27029,
374,Dawn Buckley,Sri Lanka,25/07/2019,0.50111,
375,Aaron Webster,United Arab Emirates,03/02/2014,0.14396,
376,Mark Grobbelaar,Bhutan,05/10/2004,0.98593,
377,Andrea Richardson,Azerbaijan,08/12/2009,0.25374,
378,Adam Percy,Bulgaria,15/09/2015,0.05613,
379,Jesse Masih,Greece,17/12/2001,0.01992,
380,Amarjeet Saluja,Turks and Caicos Islands,01/06/2016,0.24169,
381,Leah Culf,Malaysia,12/08/2003,0.61612,
382,Sheila Morrison,Kiribati,27/07/2006,0.0974,
383,Marcus Rhodes,Guatemala,28/07/2009,0.53158,
384,Bruno Manuel,Maldives,27/03/2012,0.76485,
385,Sai Kumar Kadimella,Bangladesh,28/06/2019,0.9185,
386,Abhinav Kishore,Cook Islands,13/05/2018,0.16535,
387,Ruairidh Fitzpatrick,Morocco,26/05/2013,0.88096,
388,Nishchith Madhava Rao,French Southern territories,10/10/2005,0.30402,
389,Vipin Kumar,Sri Lanka,04/12/2003,0.19658,
390,Jose Marcos Lorenzo,Wallis and Futuna,13/03/2000,0.28033,
391,Akeem Smith,Nepal,11/05/2010,0.95108,
392,Matt Welsh,Estonia,26/06/2006,0.04592,
393,Kevin Brown,Greenland,06/08/2018,0.97054,
394,Robert Carvalho,Venezuela,14/08/2003,0.73248,
395,Tejender Sandhu,Syria,11/02/2005,0.99115,
396,Thomas Smith,Ukraine,07/07/2011,0.29427,
397,Jack Burbidge,Argentina,28/12/2006,0.8114,
398,Ninu James,Botswana,10/10/2020,0.50941,
399,Varsha Kadam,Vietnam,11/01/2013,0.47953,
400,Silva Hassan 0928,Bhutan,02/08/2011,0.78612,
401,Tim Harding,Austria,01/08/2015,0.48003,
402,Rinku Bhardwaj,Guinea,12/07/2020,0.58821,
403,Didier Roumieu,Latvia,15/02/2010,0.89627,
404,Gary Jervis,Laos,04/02/2002,0.88865,
405,Gaurav Mehrotra,Cuba,27/10/2003,0.31761,
406,Hemendra Parvin,Micronesia,14/09/2009,0.61451,
407,Ankit Solanki,China,23/01/2020,0.10856,
408,Komal Jindal,Jamaica,13/05/2000,0.03257,
409,Sarah Moore,Luxembourg,05/12/2005,0.08126,
410,Jakeer Shaik,Singapore,30/09/2004,0.8701,
411,Shyamala Murugan,Iraq,02/05/2010,0.08977,
412,George Bacon,Western Sahara,24/12/2005,0.5034,
413,Iwan Hurkens,Pakistan,13/03/2015,0.47338,
414,Sarah Sweet,Svalbard and Jan Mayen,19/06/2006,0.74506,
415,Chandrakant Mandhare,Hungary,04/01/2018,0.23346,
416,Luke Grover,Nigeria,20/11/2016,0.63729,
417,Ryan Palliser,Ecuador,21/05/2003,0.05351,
418,Carl White,Trinidad and Tobago,26/11/2007,0.8341,
419,Darryl Steward,Sweden,21/01/2016,0.15116,
420,Wing Churn Leong,Brazil,03/04/2009,0.8952,
421,Rajesh Malhotra,Gabon,29/03/2006,0.34501,
422,Iacopo Gola,Tajikistan,06/02/2007,0.33305,
423,Michael Crowe,Eritrea,15/05/2014,0.20335,
424,Darren Gerry,Wallis and Futuna,01/04/2007,0.52366,
425,Nagaraj Kuppuswamy,Mexico,08/06/2017,0.93316,
426,Priya Battira,Paraguay,02/10/2002,0.59553,
427,Kingsley Tart,New Zealand,08/06/2020,0.00501,
428,Simon Clarke,Cyprus,11/09/2015,0.01486,
429,Lawerence Hunter,Italy,15/10/2016,0.40205,
430,Liam Connors,Madagascar,13/12/2000,0.13513,
431,Jordan Iglesias,Kiribati,08/12/2002,0.64454,
432,Peter Pandis,Malaysia,30/06/2000,0.19849,
433,Michael Montgomery,Thailand,27/04/2010,0.64943,
434,Neil Williams,United States Minor Outlying Islands,13/03/2003,0.58075,
435,Anand Shankar Mishra,Bangladesh,10/11/2005,0.89572,
436,Gabriela Felitte,Greenland,28/08/2020,0.8144,
437,Soma Sarkar,Micronesia,04/03/2014,0.88157,
438,Ashish Dole,Sao Tome and Principe,13/06/2002,0.77246,
439,Marcin Miazga,Montserrat,09/11/2019,0.84948,
440,John Wrigley,Somalia,26/08/2014,0.10631,
441,Martina Thaler,Burkina Faso,31/03/2013,0.38475,
442,Chris Houldin,Micronesia,13/10/2016,0.61263,
443,Arpitha B R,Dominica,18/06/2009,0.45147,
444,Jamal Maalim,Syria,13/02/2007,0.36547,
445,Kevin Graham,Nauru,11/07/2020,0.38313,
446,Alan Rooney,Luxembourg,17/04/2018,0.38526,
447,Claire Cox,Macedonia,28/06/2018,0.63913,
448,Daniel Ahmed,Cayman Islands,09/02/2011,0.14095,
449,Lee Scott,Georgia,18/09/2007,0.05367,
450,Dermott McCabe,Singapore,12/03/2004,0.51417,
451,Simon Bayley,Monaco,29/05/2019,0.96789,
452,Pankaj Chand,Brazil,07/08/2007,0.70364,
453,Apeksha Adhav,Gambia,15/06/2005,0.45818,
454,Sujan Sivaji,Sudan,13/09/2019,0.64783,
455,Xenia Poole,British Indian Ocean Territory,28/11/2005,0.7779,
456,James Benham,Antarctica,17/08/2018,0.81825,
